股票代码,年度,股票简称,证券交易所,中小企业板标示
419,2005,通程控股,SZ,0
419,2006,通程控股,SZ,0
419,2007,通程控股,SZ,0
419,2009,通程控股,SZ,0
419,2010,通程控股,SZ,0
420,2002,吉林化纤,SZ,0
420,2003,吉林化纤,SZ,0
420,2004,吉林化纤,SZ,0
420,2005,吉林化纤,SZ,0
420,2006,吉林化纤,SZ,0
420,2007,吉林化纤,SZ,0
420,2008,吉林化纤,SZ,0
420,2009,吉林化纤,SZ,0
420,2010,吉林化纤,SZ,0
421,2002,南京中北,SZ,0
421,2003,南京中北,SZ,0
421,2004,南京中北,SZ,0
421,2005,南京中北,SZ,0
421,2006,南京中北,SZ,0
421,2007,南京中北,SZ,0
421,2008,南京中北,SZ,0
421,2009,南京中北,SZ,0
421,2011,南京中北,SZ,0
422,2002,湖北宜化,SZ,0
422,2003,湖北宜化,SZ,0
422,2004,湖北宜化,SZ,0
422,2005,湖北宜化,SZ,0
422,2006,湖北宜化,SZ,0
422,2007,湖北宜化,SZ,0
422,2008,湖北宜化,SZ,0
422,2009,湖北宜化,SZ,0
422,2011,湖北宜化,SZ,0
423,2004,东阿阿胶,SZ,0
423,2005,东阿阿胶,SZ,0
423,2006,S阿胶,SZ,0
423,2007,东阿阿胶,SZ,0
423,2008,东阿阿胶,SZ,0
423,2009,东阿阿胶,SZ,0
423,2010,东阿阿胶,SZ,0
425,2002,徐工科技,SZ,0
425,2003,徐工科技,SZ,0
425,2004,徐工科技,SZ,0
425,2005,徐工科技,SZ,0
425,2006,徐工科技,SZ,0
425,2007,徐工科技,SZ,0
425,2009,徐工机械,SZ,0
425,2010,徐工机械,SZ,0
426,2002,富龙热力,SZ,0
426,2003,大地基础,SZ,0
426,2004,大地基础,SZ,0
426,2005,G大地,SZ,0
426,2006,大地基础,SZ,0
426,2007,富龙热电,SZ,0
426,2009,富龙热电,SZ,0
426,2010,富龙热电,SZ,0
428,2002,华天酒店,SZ,0
428,2003,华天酒店,SZ,0
428,2004,华天酒店,SZ,0
428,2005,G华天,SZ,0
428,2006,华天酒店,SZ,0
428,2007,华天酒店,SZ,0
428,2008,华天酒店,SZ,0
428,2009,华天酒店,SZ,0
428,2011,华天酒店,SZ,0
429,2002,粤高速A,SZ,0
429,2003,粤高速A,SZ,0
429,2004,粤高速A,SZ,0
429,2005,G粤高速,SZ,0
429,2006,粤高速A,SZ,0
429,2007,粤高速A,SZ,0
429,2008,粤高速A,SZ,0
429,2009,粤高速A,SZ,0
429,2011,粤高速A,SZ,0
430,2002,张家界,SZ,0
430,2003,张家界,SZ,0
430,2004,张家界,SZ,0
430,2005,张家界,SZ,0
430,2006,S张家界,SZ,0
430,2007,S*ST张股,SZ,0
430,2008,SST张股,SZ,0
430,2009,*ST张股,SZ,0
430,2010,*ST张股,SZ,0
488,2002,晨鸣纸业,SZ,0
488,2003,晨鸣纸业,SZ,0
488,2004,晨鸣纸业,SZ,0
488,2005,G晨鸣,SZ,0
488,2006,晨鸣纸业,SZ,0
488,2007,晨鸣纸业,SZ,0
488,2008,晨鸣纸业,SZ,0
488,2009,晨鸣纸业,SZ,0
488,2010,晨鸣纸业,SZ,0
498,2002,ST丹化,SZ,0
498,2003,ST丹化,SZ,0
498,2004,丹东化纤,SZ,0
498,2005,G丹化,SZ,0
498,2006,*ST丹化,SZ,0
498,2007,*ST丹化,SZ,0
498,2008,*ST丹化,SZ,0
501,2003,鄂武商A,SZ,0
501,2004,鄂武商A,SZ,0
501,2005,G武商Ａ,SZ,0
501,2007,鄂武商A,SZ,0
501,2008,鄂武商A,SZ,0
501,2009,鄂武商A,SZ,0
501,2011,鄂武商A,SZ,0
502,2002,恒大地产,SZ,0
502,2003,恒大地产,SZ,0
502,2004,恒大地产,SZ,0
502,2005,恒大地产,SZ,0
502,2006,绿景地产,SZ,0
502,2007,绿景地产,SZ,0
502,2008,绿景地产,SZ,0
502,2009,绿景地产,SZ,0
