股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
600149,邢台轧辊股份有限公司,"C&T Technology Development Co., Ltd",C71,201030,河北省邢台市新兴西路1号
600150,沪东重机股份有限公司,"HUDONG HEAVY MACHINERY CO.,LTD.",C73,201060,上海市浦东道2851号
600151,上海航天汽车机电股份有限公司,"SHANGHAI AEROSPACE AUTOMOBILE ELECTROMECHANICAL CO.,LTD.",C75,201010,上海市浦东新区榕桥路661号
600152,宁波维科精华集团股份有限公司,"NINGBO VEKEN ELITE GROUPCO.,LTD",C11,252030,浙江省宁波市和义路99号
600153,厦门建发股份有限公司,XIAMEN C&D INC.,H21,201070,厦门市鹭江道海滨大厦六楼
600155,河北宝硕股份有限公司,"HEBEI BAOSHUO CO.,LTD.",C49,151010,河北省保定国家高新技术产业开发区朝阳北路176号
600156,湖南华升益鑫泰股份有限公司,"Hunan Huasheng CO.,Ltd",C11,252030,湖南省长沙市天心区芙蓉中路三段420号
600157,泰安鲁润股份有限公司,"TAIAN LURUN CO.,LTD.",M,101020,山东省泰安市环山路36号
600158,中体产业股份有限公司,"CHINA SPORTS INDUSTRY CO.,LTD",K99,404030,天津市新技术产业园区武清开发区三号路
600159,北京市大龙伟业房地产开发股份有限公司,"BEIJING DALONG WEIYE REAL ESTATE DEVELOPMENT CO.,LTD",C05,404030,NA
600160,渐江巨化股份有限公司,"ZHEJIANG JUHUA CO.,LTD.",C43,151010,浙江省衢州市柯城区
600161,北京天坛生物制品股份有限公司,"BEJING TIANTAN BIOLOGICAL PRODUCTS CO.,LTD.",C85,352010,北京市海淀区紫竹院南路17号
600162,山东临沂工程机械股份有限公司,"Shandong Heungkong Holding Co., Ltd.",J01,404030,山东省临沂市金雀山路17号
600163,福建省南纸股份有限公司,"NANZHI CO.,LTD.,FUJIAN",C31,151050,福建省南平市滨江北路177号
600165,宁夏恒力钢丝绳股份有限公司,"NING XIA HENG LI STEEL WIRE ROPE CL.,LTD",C69,151040,宁夏回族自治区银川市
600166,北汽福田车辆股份有限公司,"BEIQI FOTON MOTOR CO.,LTD.",C75,251020,北京市昌平区沙河镇沙阳路
600167,沈阳新区开发建设股份有限公司,"SHENYANG DAWN GARMENTS CO.,LTD",J01,551030,辽宁省沈阳市浑南新区世纪路1号
600168,武汉三镇实业控股股份有限公司,"WUHAN SANZHEN INDUSTRY HOLDING CO.,LTD.",D05,551040,武汉经济技术开发区联发大厦
600169,太原重工股份有限公司,TAIYUAN  HEAVY  INDUSTRY  CO.，LTD.,C73,201060,山西省太原高新技术产业开发区
600170,上海建工股份有限公司,"SHANGHAI CONSTRUCTION CO.,LTD",E01,201030,上海市浦东新区福山路33号
600171,上海贝岭股份有限公司,SHANGHAI BELLING CO.LTD.,C51,452030,上海市漕河泾开发区宜山路810号
600172,河南黄河旋风股份有限公司,"HENAN HUANGHE WHIRLWIND CO.,LTD",C61,201060,河南省长葛市人民路200号
600173,黑龙江省牡丹江新材料科技股份有限公司,"MUDANJIANG CEMENT STOCK CO.,LTD",C61,404030,黑龙江省牡丹江市温春镇
600175,美都控股股份有限公司,"MEIDU HOLDING CO.,LTD.",J01,404030,杭州市密渡桥路70号美都恒升名楼
600176,中国化学建材股份有限公司,"China Fiberglass Co.,Ltd",C43,151010,北京市海淀区紫竹院南路2号
600177,雅戈尔集团股份有限公司,"YOUNGOR GORUP CO.,LTD.",C13,252030,浙江宁波雅戈尔大道1号
600178,哈尔滨东安汽车动力股份有限公司,"HARBIN DONGAN AUTO ENGINE CO.,LTD",C75,251020,哈尔滨市南岗区高新技术开发区13栋
600179,黑龙江黑化股份有限公司,"HEILONGJIANG HEIHUA CO.,LTD.",C41,101020,黑龙江省齐齐哈尔市富拉尔基区向阳大街2号
