股票代码,年度,CR_5指数,CR_10指数,Z指数,Herfindahl_5指数,Herfindahl_10指数
828,1998,0.787342,0.799353,2.057136,0.327352994,0.327381891
829,1998,0.670756,0.680518,5.764140265,0.228694003,0.228713761
830,1998,0.755681,0.814416,447.761194,0.562508194,0.563230472
831,1998,0.651162,0.667651,9.424263966,0.300613303,0.300669006
832,1998,0.30773,0.314281,16.17411492,0.063719656,0.063728379
833,1998,0.465292,0.478118,19.44019256,0.157903258,0.157936241
836,1998,0.666147,0.677241,5.225305679,0.2202291,0.220254469
837,1998,0.504468,0.512994,21.00440304,0.206159427,0.20617409
838,1998,0.554821,0.595225,6.3073635,0.151180158,0.15150764
839,1998,0.756521,0.771562,243.902439,0.562513597,0.562559851
848,1998,0.706927,0.721035,247.3278921,0.4857924,0.485834757
850,1998,0.711951,0.801368,375.0701382,0.498279138,0.499888569
851,1998,0.587361,0.596616,2.027219082,0.125605824,0.125623149
852,1998,0.77,0.784845,150,0.5626,0.562644235
856,1998,0.693282,0.697915,379.2057363,0.472664823,0.472669193
858,1998,0.75884,0.77149,253.8071066,0.562520404,0.56255301
859,1998,0.768402,0.7879,8.159040008,0.45125493,0.451331328
860,1998,0.77,0.784731,150,0.5626,0.562643684
861,1998,0.39874,0.445687,5.568461539,0.088132839,0.088580216
862,1998,-97,-97,9.52381,-97,-97
863,1998,0.703091,0.728686,1.166662163,0.13282793,0.132964991
866,1998,0.851265,0.860855,2195.826873,0.722135094,0.722153795
868,1998,0.592858,0.601622,70.40771316,0.326656574,0.326672068
876,1998,0.714697,0.731487,5.471929909,0.338481574,0.33854113
877,1998,0.558258,0.586462,9.165640357,0.212298249,0.212459792
878,1998,0.714661,0.786851,217.955755,0.496252622,0.497306703
880,1998,0.566034,0.590599,6.651267094,0.239045995,0.23916694
881,1998,0.366762,0.389209,7.999904571,0.066652822,0.066754008
882,1998,0.750482,0.779145,1.58359231,0.201612127,0.20178169
883,1998,0.501344,0.508271,13.87596899,0.195228682,0.195239428
885,1998,0.345701,0.362771,46.04180936,0.104246395,0.104305642
886,1998,0.357677,0.367371,4.23970414,0.061921498,0.061941776
887,1998,0.77539,0.790814,58.30223881,0.562748032,0.562796718
888,1998,0.6777,0.725894,5.046674754,0.318202163,0.318669396
889,1998,0.495093,0.582432,8.936283022,0.152789817,0.154325681
893,1998,0.763783,0.774658,144.7406037,0.55251563,0.552539605
895,1998,0.734103,0.760392,123.0074394,0.50563046,0.505769475
897,1998,0.576186,0.64737,1.428544458,0.137770349,0.138819066
898,1998,0.860466,0.887008,1.588886706,0.385848988,0.385995477
899,1998,0.7327,0.744704,1.631576839,0.276132878,0.276162108
900,1998,0.59381,0.601337,228.6864971,0.341422193,0.341433842
901,1998,0.372302,0.39681,3.727549426,0.079503802,0.07962426
902,1998,0.325198,0.340477,1.282336748,0.02969973,0.029753031
903,1998,0.503722,0.515597,1.306134443,0.102809158,0.102837487
905,1998,0.447349,0.472925,10.04498407,0.147172148,0.147313882
908,1998,0.657961,0.671024,4.590889911,0.217298274,0.2173334
917,1998,0.656032,0.661898,1.134982461,0.143336571,0.143343539
1696,1998,0.625974,0.653976,1.850395522,0.206761741,0.206919913
1896,1998,0.81512,0.876251,1.150002611,0.253879106,0.254644297
600001,1998,0.726004,0.774858,234.0462842,0.515619035,0.516117653
600002,1998,0.831627,0.86238,103.7310999,0.673307628,0.673499839
600007,1998,0.636273,0.646006,42.02797203,0.361568489,0.361588434
600009,1998,0.693976,0.701642,72.43231204,0.444639876,0.444652667
600051,1998,0.720468,0.737253,1.388888889,0.205572369,0.205629155
600052,1998,0.337757,0.372336,3.003426667,0.056843841,0.057105586
600053,1998,0.58172,0.617584,74.07687322,0.32659283,0.326857978
600054,1998,0.579599,0.58764,11.30013048,0.238108757,0.238121849
600055,1998,0.716879,0.749942,96.11423864,0.490085353,0.490307102
600056,1998,0.758669,0.768075,183.0161054,0.562524997,0.56254283
600057,1998,0.636359,0.668204,47.14386737,0.360372448,0.360614295
600058,1998,0.764948,0.779245,16.60122245,0.516021742,0.516063898
600059,1998,0.672549,0.685035,101.8170426,0.422629053,0.422661017
600060,1998,0.705388,0.720271,176.3327393,0.479784992,0.47983084
