股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000021,2008,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,NA,SZ,0,0
'000021,2009,长城开发,深圳长城开发科技股份有限公司,NA,G83,452020,NA,SZ,0,0
'000021,2010,长城开发,深圳长城开发科技股份有限公司,NA,G83,452020,NA,SZ,0,0
'000022,2002,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,中国深圳市赤湾港石油大厦12楼,SZ,0,0
'000022,2003,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,中国深圳市赤湾港石油大厦12楼,SZ,0,0
'000022,2004,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,中国深圳市赤湾港石油大厦12楼,SZ,0,0
'000022,2005,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,中国深圳市赤湾港石油大厦12楼,SZ,0,0
'000022,2006,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,NA,SZ,0,0
'000022,2007,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,NA,SZ,0,0
'000022,2008,深赤湾A,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,NA,SZ,0,0
'000022,2009,深赤湾A,深圳赤湾港航股份有限公司,NA,F11,203050,NA,SZ,0,0
'000022,2010,深赤湾A,深圳赤湾港航股份有限公司,NA,F11,203050,NA,SZ,0,0
'000023,2002,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,深圳市宝安南路天地大厦二三楼,SZ,0,0
'000023,2003,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,深圳市宝安南路天地大厦二三楼,SZ,0,0
'000023,2004,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,深圳市宝安南路天地大厦二三楼,SZ,0,0
'000023,2005,G深天地,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,深圳市高新技术产业园（北区）郎山路东物商业大楼10楼,SZ,0,0
'000023,2006,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,NA,SZ,0,0
'000023,2007,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,NA,SZ,0,0
'000023,2008,深天地A,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,NA,SZ,0,0
'000023,2009,深天地A,深圳市天地(集团)股份有限公司,NA,E,151020,NA,SZ,0,0
'000023,2011,深天地A,深圳市天地(集团)股份有限公司,NA,E,151020,NA,SZ,0,0
'000024,2002,招商局A,招商局蛇口控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,中国广东省深圳南山区蛇口工业区新时代广场9楼,SZ,0,0
